IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,60363,255.255.255.255,12414,10368,Jebao Aqua,com.jebao.android,UDP,Closed,,684,0,19,0,2026-07-14T06:56:18.994+09:30,2026-07-14T06:57:24.335+09:30
6,10.215.173.1,42448,34.196.48.66,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,,1037,8607,8,9,2026-07-14T06:56:18.997+09:30,2026-07-14T06:56:20.113+09:30
6,10.215.173.1,42450,34.196.48.66,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,,1037,8560,8,9,2026-07-14T06:56:18.998+09:30,2026-07-14T06:56:20.110+09:30
17,10.215.173.1,20269,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,appmonitor.gizwits.com,68,84,1,1,2026-07-14T06:56:18.998+09:30,2026-07-14T06:56:19.004+09:30
6,10.215.173.1,58316,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,1911,5325,8,10,2026-07-14T06:56:19.007+09:30,2026-07-14T06:56:20.422+09:30
17,10.215.173.1,51135,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,77,1,1,2026-07-14T06:56:20.032+09:30,2026-07-14T06:56:20.043+09:30
17,10.215.173.1,20578,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,61,1,1,2026-07-14T06:56:20.040+09:30,2026-07-14T06:56:20.404+09:30
6,10.215.173.1,58330,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,1884,5325,8,10,2026-07-14T06:56:20.431+09:30,2026-07-14T06:56:21.778+09:30
6,10.215.173.1,52758,52.86.144.175,8883,10368,Jebao Aqua,com.jebao.android,TLS,Closed,usm2m.gizwits.com,13394,18890,74,65,2026-07-14T06:56:20.604+09:30,2026-07-14T06:57:28.797+09:30
6,10.215.173.1,58338,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,1914,5325,8,10,2026-07-14T06:56:21.798+09:30,2026-07-14T06:56:23.268+09:30
6,10.215.173.1,49936,34.196.48.66,80,10368,Jebao Aqua,com.jebao.android,HTTP,Closed,usapi.gizwits.com,559,443,4,4,2026-07-14T06:56:24.193+09:30,2026-07-14T06:57:24.588+09:30
6,10.215.173.1,34070,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,6286,5365,8,10,2026-07-14T06:56:25.906+09:30,2026-07-14T06:56:27.540+09:30
17,10.215.173.1,1340,10.215.173.2,53,10163,Google Play services,com.google.android.gms,DNS,Closed,fitness.googleapis.com,68,196,1,1,2026-07-14T06:56:54.591+09:30,2026-07-14T06:56:54.684+09:30
17,10.215.173.1,56472,172.217.115.4,443,10163,Google Play services,com.google.android.gms,QUIC,Closed,fitness.googleapis.com,11632,9790,27,31,2026-07-14T06:56:54.702+09:30,2026-07-14T06:56:57.289+09:30
6,10.215.173.1,48186,142.250.4.188,5228,10163,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1385,1148,7,7,2026-07-14T06:57:04.201+09:30,2026-07-14T06:58:05.003+09:30
17,10.215.173.1,53811,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T06:57:19.452+09:30,2026-07-14T06:57:19.484+09:30
17,10.215.173.1,24469,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,61,1,1,2026-07-14T06:57:20.495+09:30,2026-07-14T06:57:20.784+09:30
17,10.215.173.1,34106,172.217.118.4,443,10163,Google Play services,com.google.android.gms,QUIC,Closed,fitness.googleapis.com,6744,6082,11,14,2026-07-14T06:57:23.874+09:30,2026-07-14T06:57:24.211+09:30
17,10.215.173.1,63745,10.215.173.2,53,10163,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,107,1,1,2026-07-14T06:58:05.037+09:30,2026-07-14T06:58:05.071+09:30
6,10.215.173.1,48052,74.125.130.188,5228,10163,Google Play services,com.google.android.gms,TLS,Active,mtalk.google.com,1343,1108,7,6,2026-07-14T06:58:05.098+09:30,2026-07-14T06:58:05.780+09:30
