IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,49861,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T06:58:51.732+09:30,2026-07-14T06:58:51.765+09:30
17,10.215.173.1,36408,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T06:58:51.735+09:30,2026-07-14T06:58:51.762+09:30
17,10.215.173.1,1739,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usm2m.gizwits.com,63,159,1,1,2026-07-14T06:58:51.786+09:30,2026-07-14T06:58:51.820+09:30
17,10.215.173.1,64124,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usm2m.gizwits.com,63,127,1,1,2026-07-14T06:58:51.792+09:30,2026-07-14T06:58:51.816+09:30
17,10.215.173.1,60363,255.255.255.255,12414,10368,Jebao Aqua,com.jebao.android,UDP,Active,,1476,0,41,0,2026-07-14T06:58:51.796+09:30,2026-07-14T07:02:23.069+09:30
6,10.215.173.1,39310,52.86.144.175,8883,10368,Jebao Aqua,com.jebao.android,TLS,Closed,,3071,7113,35,28,2026-07-14T06:58:51.799+09:30,2026-07-14T06:59:30.758+09:30
6,10.215.173.1,46580,52.5.104.140,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,usapi.gizwits.com,1117,8687,10,11,2026-07-14T06:58:51.801+09:30,2026-07-14T06:58:52.940+09:30
6,10.215.173.1,46594,52.5.104.140,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,usapi.gizwits.com,1117,8758,10,12,2026-07-14T06:58:51.802+09:30,2026-07-14T06:58:53.254+09:30
17,10.215.173.1,47243,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,appmonitor.gizwits.com,68,84,1,1,2026-07-14T06:58:51.804+09:30,2026-07-14T06:58:51.812+09:30
6,10.215.173.1,52142,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,2019,5325,9,10,2026-07-14T06:58:51.818+09:30,2026-07-14T06:58:53.254+09:30
17,10.215.173.1,34622,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,77,1,1,2026-07-14T06:58:52.783+09:30,2026-07-14T06:58:52.810+09:30
17,10.215.173.1,64493,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,61,1,1,2026-07-14T06:58:52.788+09:30,2026-07-14T06:58:53.253+09:30
6,10.215.173.1,52152,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,1924,5365,9,11,2026-07-14T06:58:53.264+09:30,2026-07-14T06:58:54.653+09:30
6,10.215.173.1,53970,52.5.104.140,80,10368,Jebao Aqua,com.jebao.android,HTTP,Closed,usapi.gizwits.com,599,443,5,4,2026-07-14T06:58:55.184+09:30,2026-07-14T06:59:30.761+09:30
6,10.215.173.1,39434,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,6329,5405,12,11,2026-07-14T06:58:56.828+09:30,2026-07-14T06:59:01.186+09:30
6,10.215.173.1,41094,52.2.9.108,8883,10368,Jebao Aqua,com.jebao.android,TLS,Closed,usm2m.gizwits.com,14264,20080,88,87,2026-07-14T06:59:32.824+09:30,2026-07-14T07:02:23.556+09:30
6,10.215.173.1,49860,52.5.104.140,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,usapi.gizwits.com,1037,8560,8,9,2026-07-14T06:59:32.830+09:30,2026-07-14T06:59:33.907+09:30
17,10.215.173.1,15077,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T06:59:51.316+09:30,2026-07-14T06:59:51.357+09:30
