IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,3610,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usm2m.gizwits.com,63,159,1,1,2026-07-14T06:59:51.881+09:30,2026-07-14T06:59:51.925+09:30
17,10.215.173.1,51584,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,61,1,1,2026-07-14T06:59:53.376+09:30,2026-07-14T06:59:53.770+09:30
6,10.215.173.1,46628,34.196.48.66,80,10368,Jebao Aqua,com.jebao.android,HTTP,Closed,usapi.gizwits.com,599,443,5,4,2026-07-14T06:59:58.094+09:30,2026-07-14T07:00:59.501+09:30
6,10.215.173.1,60144,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,6098,5365,8,10,2026-07-14T06:59:59.736+09:30,2026-07-14T07:00:01.359+09:30
17,10.215.173.1,43730,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T07:00:51.829+09:30,2026-07-14T07:00:51.865+09:30
17,10.215.173.1,52395,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usm2m.gizwits.com,63,159,1,1,2026-07-14T07:00:51.993+09:30,2026-07-14T07:00:52.041+09:30
17,10.215.173.1,52206,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,61,1,1,2026-07-14T07:00:53.887+09:30,2026-07-14T07:00:54.292+09:30
17,10.215.173.1,32018,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T07:01:51.336+09:30,2026-07-14T07:01:51.397+09:30
17,10.215.173.1,51376,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T07:01:53.102+09:30,2026-07-14T07:01:53.133+09:30
17,10.215.173.1,41149,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,61,1,1,2026-07-14T07:01:54.413+09:30,2026-07-14T07:01:54.607+09:30
